device_name,device_type,chipset,launch_os_version,currently_supported_os,current_user_interface,official_release_date
Vivo Y39 5G,Phone,Qualcomm Snapdragon 4 Gen 2,Android 15,Android 15,Funtouch OS 15,2025-01-22 0:00:00
Vivo Y300 Pro+,Phone,Qualcomm Snapdragon 7s Gen 3,Android 15,Android 15,OriginOS 5,2025-02-06 0:00:00
Vivo Y04,Phone,Unisoc T7225,Android 14 Go Edition,Android 14 Go Edition,Funtouch OS 14,2025-02-11 0:00:00
Vivo V50,Phone,Qualcomm Snapdragon 7 Gen 3,Android 15,Android 15,Funtouch OS 15,2025-02-17 0:00:00
Vivo V50 Pro,Phone,MediaTek Dimensity 9300+,Android 15,Android 15,Funtouch OS 15,2025-02-17 0:00:00
Vivo iQOO Neo10 SE,Phone,Qualcomm Snapdragon 8s Gen 4,Android 15,Android 15,OriginOS 5,2025-02-21 0:00:00
Vivo Y19e,Phone,Unisoc T7225,Android 14 Go Edition,Android 14 Go Edition,Funtouch OS 14,2025-03-08 0:00:00
Vivo iQOO Z10,Phone,MediaTek Dimensity 7300,Android 15,Android 15,Funtouch OS 15,2025-03-14 0:00:00
Vivo iQOO Z10x,Phone,MediaTek Dimensity 7300,Android 15,Android 15,Funtouch OS 15,2025-03-14 0:00:00
Vivo T4 5G,Phone,Qualcomm Snapdragon 7 Gen 3,Android 15,Android 15,Funtouch OS 15,2025-03-19 0:00:00
Vivo X Fold4,Phone,Qualcomm Snapdragon 8 Elite,Android 15,Android 15,OriginOS 5,2025-03-27 0:00:00
Vivo iQOO 13 Pro,Phone,Qualcomm Snapdragon 8 Elite,Android 15,Android 15,OriginOS 5,2025-04-09 0:00:00
Vivo V50e,Phone,MediaTek Dimensity 7300,Android 15,Android 15,Funtouch OS 15,2025-04-10 0:00:00
Vivo Y300 GT,Phone,MediaTek Dimensity 8400,Android 15,Android 15,OriginOS 5,2025-04-18 0:00:00
Vivo X200 FE,Phone,MediaTek Dimensity 9300,Android 15,Android 15,Funtouch OS 15,2025-04-25 0:00:00
Vivo iQOO Neo10S Pro,Phone,MediaTek Dimensity 9400+,Android 15,Android 15,OriginOS 5,2025-04-29 0:00:00
Vivo S21,Phone,Qualcomm Snapdragon 7 Gen 4,Android 15,Android 15,OriginOS 5,2025-05-08 0:00:00
Vivo S21 Pro,Phone,MediaTek Dimensity 9400e,Android 15,Android 15,OriginOS 5,2025-05-08 0:00:00
Vivo Y300i Pro,Phone,Qualcomm Snapdragon 6 Gen 1,Android 15,Android 15,OriginOS 5,2025-05-13 0:00:00
Vivo Y400 5G,Phone,Qualcomm Snapdragon 6 Gen 2,Android 15,Android 15,Funtouch OS 15,2025-05-20 0:00:00
Vivo iQOO Z10 Turbo,Phone,Qualcomm Snapdragon 8s Gen 4,Android 15,Android 15,OriginOS 5,2025-05-27 0:00:00
Vivo Y39m,Phone,MediaTek Dimensity 6300,Android 15,Android 15,OriginOS 5,2025-06-06 0:00:00
Vivo T4x 5G,Phone,MediaTek Dimensity 7300,Android 15,Android 15,Funtouch OS 15,2025-06-11 0:00:00
Vivo X300 Pro,Phone,MediaTek Dimensity 9500,Android 15,Android 15,OriginOS 5,2025-06-28 0:00:00
Vivo X300,Phone,MediaTek Dimensity 9500,Android 15,Android 15,OriginOS 5,2025-06-28 0:00:00
Vivo Y500 5G,Phone,Qualcomm Snapdragon 6 Gen 2,Android 15,Android 15,Funtouch OS 15,2025-07-09 0:00:00
Vivo V60,Phone,Qualcomm Snapdragon 7 Gen 4,Android 15,Android 15,Funtouch OS 15,2025-07-16 0:00:00
Vivo V60 Pro,Phone,MediaTek Dimensity 9400+,Android 15,Android 15,Funtouch OS 15,2025-07-16 0:00:00
Vivo iQOO 14,Phone,Qualcomm Snapdragon 8 Elite 2,Android 15,Android 15,OriginOS 5,2025-07-30 0:00:00
Vivo Y500 Pro,Phone,MediaTek Dimensity 8400,Android 15,Android 15,OriginOS 5,2025-08-14 0:00:00
Vivo T5 5G,Phone,Qualcomm Snapdragon 7s Gen 4,Android 15,Android 15,Funtouch OS 15,2025-08-22 0:00:00
Vivo X300 Ultra,Phone,Qualcomm Snapdragon 8 Elite 2,Android 15,Android 15,OriginOS 5,2025-08-29 0:00:00
Vivo Y500s,Phone,MediaTek Dimensity 6300,Android 15,Android 15,Funtouch OS 15,2025-09-05 0:00:00
Vivo V60e,Phone,MediaTek Dimensity 7400,Android 15,Android 15,Funtouch OS 15,2025-09-18 0:00:00
Vivo iQOO Neo11,Phone,Qualcomm Snapdragon 8 Gen 4,Android 15,Android 15,OriginOS 5,2025-09-26 0:00:00
Vivo X400,Phone,MediaTek Dimensity 9500+,Android 16,Android 16,OriginOS 6,2025-10-10 0:00:00
Vivo X400 Pro,Phone,Qualcomm Snapdragon 8 Elite 2,Android 16,Android 16,OriginOS 6,2025-10-10 0:00:00
Vivo Y600 5G,Phone,Qualcomm Snapdragon 6 Gen 3,Android 15,Android 15,Funtouch OS 15,2025-10-21 0:00:00
Vivo S22 Pro,Phone,MediaTek Dimensity 9500,Android 16,Android 16,OriginOS 6,2025-11-19 0:00:00
Vivo S22,Phone,Qualcomm Snapdragon 7 Gen 4,Android 16,Android 16,OriginOS 6,2025-11-19 0:00:00
Vivo iQOO 15,Phone,Qualcomm Snapdragon 8 Elite 2,Android 16,Android 16,OriginOS 6,2025-11-27 0:00:00
Vivo Y600 Pro,Phone,MediaTek Dimensity 8400,Android 15,Android 15,Funtouch OS 15,2025-12-12 0:00:00
Vivo Y600t,Phone,MediaTek Dimensity 7400,Android 15,Android 15,OriginOS 5,2025-12-20 0:00:00
