device_name,device_type,chipset,base_android_os,current_android_os,current_user_interface,official_release_date,source
Oppo Reno14,Phone,Mediatek Dimensity 8350 (4 nm),Android 15,Android 16,ColorOS 15,5/14/2025,https://www.gsmarena.com/oppo_reno14_5g-13866.php
Oppo Reno14 Pro,Phone,Mediatek Dimensity 8450 (4 nm),Android 15,Android 16,ColorOS 15,5/14/2025,https://www.gsmarena.com/oppo_reno14_pro_5g-13865.php
Oppo Reno15 (China),Phone,Mediatek Dimensity 8450 (4 nm),Android 16,Android 16,ColorOS 16,11/18/2025,https://www.gsmarena.com/oppo_reno15_5g-14288.php
Oppo Reno15 Pro (China),Phone,Mediatek Dimensity 8450 (4 nm),Android 16,Android 16,ColorOS 16,11/1/2025,https://www.gsmarena.com/oppo_reno15_pro_5g-14286.php
Oppo Find X9,Phone,Mediatek Dimensity 9500 (3 nm),Android 16,Android 16,ColorOS 16,10/1/2025,https://www.gsmarena.com/oppo_find_x9_5g-14235.php
Oppo A6 GT,Phone,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Android 15,Android 16,ColorOS 15 / rumored,9/1/2025,https://www.gsmarena.com/oppo_a6_gt_5g-14135.php
Oppo A6 Max,Phone,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Android 15,Android 16,ColorOS 15 / rumored,9/1/2025,https://www.gsmarena.com/oppo_a6_max_5g-14108.php
Oppo A6 Pro 4G,Phone,Mediatek Helio G100 (6 nm),Android 15,Android 16,ColorOS 15,9/1/2025,https://www.gsmarena.com/oppo_a6_pro-14170.php
Oppo A6 Pro,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,9/1/2025,https://www.gsmarena.com/oppo_a6_pro_5g-14171.php
Oppo A6 Pro (China),Phone,Mediatek Dimensity 7300 (4 nm),Android 15,Android 16,ColorOS 15,9/1/2025,https://www.gsmarena.com/oppo_a6_pro_5g_(china)-14129.php
Oppo F31,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15 / rumored,9/1/2025,https://www.gsmarena.com/oppo_f31_5g-14248.php
Oppo F31 Pro+,Phone,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Android 15,Android 16,ColorOS 15 / rumored,9/1/2025,https://www.gsmarena.com/oppo_f31_pro+_5g-14148.php
Oppo F31 Pro,Phone,Mediatek Dimensity 7300 (4 nm),Android 15,Android 16,ColorOS 15 / rumored,9/1/2025,https://www.gsmarena.com/oppo_f31_pro_5g-14149.php
Oppo A6c,Phone,UNISOC T7250,Android 15,Android 16,ColorOS 15,4/1/2026,https://www.gsmarena.com/oppo_a6c-14418.php
Oppo A6k,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,4/1/2026,https://www.gsmarena.com/oppo_a6k-14588.php
Oppo A6s Pro (China),Phone,Mediatek Dimensity 6360 Max (6 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_a6s_pro_5g_(china)-14597.php
Oppo F33,Phone,Mediatek Dimensity 6360 Max (6 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_f33_5g-14602.php
Oppo F33 Pro,Phone,Mediatek Dimensity 6360 Max (6 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_f33_pro_5g-14601.php
Oppo Find X9 Ultra,Phone,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_find_x9_ultra_5g-14548.php
Oppo Find X9s,Phone,Mediatek Dimensity 9500s (3 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_find_x9s_5g-14617.php
Oppo Find X9s Pro,Phone,Mediatek Dimensity 9500 (3 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_find_x9s_pro-14592.php
Oppo K15 Pro+,Phone,Mediatek Dimensity 9500s (3 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_k15_pro+_5g-14572.php
Oppo K15 Pro,Phone,Mediatek Dimensity 8500 Super (4 nm),Android 16,Android 16,ColorOS 16,4/1/2026,https://www.gsmarena.com/oppo_k15_pro_5g-14573.php
Oppo K14x,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 14�16,ColorOS 14�16,2/20/2026,https://www.gsmarena.com/oppo_k14x_5g-14458.php
Oppo A6s Pro,Phone,Mediatek Helio G100 Max (6 nm),Android 16,Android 16,ColorOS 16,2/20/2026,https://www.gsmarena.com/oppo_a6s_pro-14523.php
Oppo Reno15c (India),Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 16,Android 16,ColorOS 16,2/20/2026,https://www.gsmarena.com/oppo_reno15c_5g_(india)-14513.php
Oppo A6 4G,Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 15,Android 16,ColorOS 15 / unverified regional build,1/25/2026,https://www.gsmarena.com/oppo_a6-14413.php
Oppo A6,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15 / unverified regional build,1/25/2026,https://www.gsmarena.com/oppo_a6_5g-14412.php
Oppo A6 Pro (India),Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6_pro_5g_(india)-14399.php
Oppo A6c (China),Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6c_(china)-14591.php
Oppo A6s 4G,Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6s-14411.php
Oppo A6s,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6s_5g-14410.php
Oppo A6t 4G,Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6t-14416.php
Oppo A6t Pro 4G,Phone,Qualcomm SM6225 Snapdragon 685 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6t_pro-14415.php
Oppo A6x,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,1/25/2026,https://www.gsmarena.com/oppo_a6x_5g_(global)-14414.php
Oppo Reno15,Phone,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Android 16,Android 16,ColorOS 16,1/1/2026,https://www.gsmarena.com/oppo_reno15_5g_(global)-14395.php
Oppo Reno15 F,Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 16,Android 16,ColorOS 16,1/1/2026,https://www.gsmarena.com/oppo_reno15_f_5g-14396.php
Oppo Reno15 FS,Phone,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Android 16,Android 16,ColorOS 16,1/1/2026,https://www.gsmarena.com/oppo_reno15_fs_5g-14373.php
Oppo Reno15 Pro,Phone,Mediatek Dimensity 8450 (4 nm),Android 16,Android 16,ColorOS 16,1/15/2026,https://www.gsmarena.com/oppo_reno15_pro_5g_(global)-14394.php
Oppo Reno15 Pro (India),Phone,Mediatek Dimensity 8450 (4 nm),Android 16,Android 16,ColorOS 16,1/15/2026,https://www.gsmarena.com/oppo_reno15_pro_5g_(india)-14406.php
Oppo Reno15 Pro Max,Phone,Mediatek Dimensity 8450 (4 nm),Android 16,Android 16,ColorOS 16,1/15/2026,https://www.gsmarena.com/oppo_reno15_pro_max_5g-14220.php
Oppo Reno15 Pro Mini,Phone,Mediatek Dimensity 8450 (4 nm),Android 16,Android 16,ColorOS 16,1/15/2026,https://www.gsmarena.com/oppo_reno15_pro_mini_5g-14393.php
Oppo A6s (India),Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 16,ColorOS 15,3/20/2026,https://www.gsmarena.com/oppo_a6s_5g_(india)-14546.php
Oppo K14,Phone,Mediatek Dimensity 6300 (6 nm),Android 15,Android 14�16,ColorOS 14�16,3/20/2026,https://www.gsmarena.com/oppo_k14_5g-14530.php
Oppo Find N6,Phone,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Android 16,Android 16,ColorOS 16,3/20/2026,https://www.gsmarena.com/oppo_find_n6_5g-14389.php
